experiment,function,param,method,trial,mse,nmse,seconds,expression
band_sweep,sqrt_like,band=1.0,NeuralSR,0,1.9637535845189685e-06,6.381430576271657e-06,0.0,0.9994*Abs(x)**0.5 + 7.024e-5
band_sweep,sqrt_like,band=3.0,XiGuidedSR,0,2.3284952684117317e-06,5.733631282125618e-06,6.4,0.9994*Abs(x)**0.5 + 7.024e-5
band_sweep,sqrt_like,band=3.0,GplearnSR,0,0.0,0.0,10.8,sqrt(X0)
band_sweep,sqrt_like,band=3.0,NeuralSR,0,2.3284952684117317e-06,5.733631282125618e-06,0.0,0.9994*Abs(x)**0.5 + 7.024e-5
band_sweep,sqrt_like,band=6.0,XiGuidedSR,0,2.8782092059409063e-06,4.941602892051562e-06,5.2,0.9994*Abs(x)**0.5 + 7.024e-5
band_sweep,sqrt_like,band=6.0,GplearnSR,0,0.0,0.0,12.5,sqrt(X0)
band_sweep,sqrt_like,band=6.0,NeuralSR,0,2.8782092059409063e-06,4.941602892051562e-06,0.0,0.9994*Abs(x)**0.5 + 7.024e-5
band_sweep,hero,band=1.0,XiGuidedSR,0,3.6295274320433886,7.361014406009255,6.5,0.8375 - 0.004917*exp(Abs(x - sin(x - sin(x))))
band_sweep,hero,band=1.0,GplearnSR,0,0.536966484191073,1.0890172618007583,12.9,"sqrt(log(cos(sqrt(log(cos(mul(exp(div(div(log(X0), 0.988), 0.989)), sin(cos(div(log(X0), 0.988))))))))))"
band_sweep,hero,band=1.0,NeuralSR,0,3.4752485166043368,7.0481226204108784,0.0,2.528*sin(1.1760597706854*sqrt(Abs(x))) - 1.467
band_sweep,hero,band=3.0,XiGuidedSR,0,84.89715520100495,8.775021963148108,6.7,0.8375 - 0.004917*exp(Abs(x - sin(x - sin(x))))
band_sweep,hero,band=3.0,GplearnSR,0,29.59330764183228,3.058782404480416,14.1,"sqrt(log(cos(sqrt(log(cos(mul(exp(div(div(log(X0), 0.988), 0.989)), sin(cos(div(log(X0), 0.988))))))))))"
band_sweep,hero,band=3.0,NeuralSR,0,47.75758792249434,4.936253540353069,0.0,2.528*sin(1.1760597706854*sqrt(Abs(x))) - 1.467
band_sweep,hero,band=6.0,XiGuidedSR,0,24562.473333260263,1569.7022244294712,6.4,0.8375 - 0.004917*exp(Abs(x - sin(x - sin(x))))
band_sweep,hero,band=6.0,GplearnSR,0,53.064025844588784,3.3911372961225306,13.2,"sqrt(log(cos(sqrt(log(cos(mul(exp(div(div(log(X0), 0.988), 0.989)), sin(cos(div(log(X0), 0.988))))))))))"
band_sweep,hero,band=6.0,NeuralSR,0,92.91854024079434,5.9381006679490795,0.0,2.528*sin(1.1760597706854*sqrt(Abs(x))) - 1.467
trainsize_sweep,product,n=15,XiGuidedSR,0,0.07948048422510873,0.003857754320702925,8.3,(0.08609*x + 1.044*(x*(x + 0.04077) + 1.073*cos(0.53650653455642*x**4 - log(Abs(x)) + 0.697160555618905))*sin(x))/x
trainsize_sweep,product,n=15,GplearnSR,0,0.0,0.0,11.2,"mul(sin(X0), X0)"
trainsize_sweep,product,n=15,NeuralSR,0,0.0007668345798477326,3.7219947041256916e-05,0.0,1.005*x*sin(x) + 0.004805
trainsize_sweep,product,n=50,XiGuidedSR,0,0.0028940277360131657,0.00015616011520329688,5.5,1.01*x*sin(x) + 0.01519
trainsize_sweep,product,n=50,GplearnSR,0,0.01596104700694102,0.0008612491540260095,11.4,"mul(sin(add(X0, -0.028)), X0)"
trainsize_sweep,product,n=50,NeuralSR,0,0.0028940277360131657,0.00015616011520329688,0.0,1.01*x*sin(x) + 0.01519
trainsize_sweep,product,n=200,XiGuidedSR,0,0.0020734786928700015,0.00016355668546984994,7.2,1.011*x*sin(x) - 0.01828
trainsize_sweep,product,n=200,GplearnSR,0,0.0,0.0,11.6,"mul(sin(X0), X0)"
trainsize_sweep,product,n=200,NeuralSR,0,0.0020734786928700015,0.00016355668546984994,0.0,1.011*x*sin(x) - 0.01828
